 ID,Sample Time,Type,Conc.,Units,Factor,A260 (10 mm),A280 (10 mm),A3rd (10 mm),A260/A280,BlankTime,Calibration Time,Note,Diagnostic Code
,18/03/2020 10:41,Blank,,,,,,,,,01/01/2010 00:00,,0x00000000
,18/03/2020 10:41,Confirm,,,,0.492,0.503,0.396,,,01/01/2010 00:00,,0x0000200E
,18/03/2020 10:42,Blank,,,,,,,,,01/01/2010 00:00,,0x00000000
,18/03/2020 10:42,Confirm,,,,0.004,0.003,0,,,01/01/2010 00:00,,0x00000000
1,18/03/2020 10:42,dsDNA,10,ng/µl,50,0.199,0.121,0.036,1.64,18/03/2020 10:42,01/01/2010 00:00,,0x00000000
2,18/03/2020 10:42,dsDNA,10.1,ng/µl,50,0.202,0.124,0.044,1.62,18/03/2020 10:42,01/01/2010 00:00,,0x00000000
3,18/03/2020 10:43,dsDNA,12.2,ng/µl,50,0.245,0.146,0.043,1.68,18/03/2020 10:42,01/01/2010 00:00,,0x00000000
4,18/03/2020 10:43,dsDNA,13.4,ng/µl,50,0.268,0.161,0.047,1.66,18/03/2020 10:42,01/01/2010 00:00,,0x00000000
5,18/03/2020 10:43,dsDNA,10.8,ng/µl,50,0.216,0.145,0.018,1.49,18/03/2020 10:42,01/01/2010 00:00,,0x00000000
6,18/03/2020 10:43,dsDNA,10.8,ng/µl,50,0.216,0.134,0.041,1.61,18/03/2020 10:42,01/01/2010 00:00,,0x00000000
7,18/03/2020 10:44,dsDNA,13.7,ng/µl,50,0.274,0.151,0.024,1.82,18/03/2020 10:42,01/01/2010 00:00,,0x00000000
8,18/03/2020 10:44,dsDNA,14.8,ng/µl,50,0.297,0.16,0.012,1.86,18/03/2020 10:42,01/01/2010 00:00,,0x00000000
9,18/03/2020 10:44,dsDNA,15.3,ng/µl,50,0.306,0.172,0.014,1.78,18/03/2020 10:42,01/01/2010 00:00,,0x00000000
10,18/03/2020 10:44,dsDNA,20.8,ng/µl,50,0.416,0.224,0.013,1.86,18/03/2020 10:42,01/01/2010 00:00,,0x00000000
11,18/03/2020 10:45,dsDNA,7.1,ng/µl,50,0.143,0.083,0.037,1.72,18/03/2020 10:42,01/01/2010 00:00,,0x00000000
12,18/03/2020 10:45,dsDNA,7.7,ng/µl,50,0.154,0.091,0.028,1.68,18/03/2020 10:42,01/01/2010 00:00,,0x00000000
13,18/03/2020 10:45,dsDNA,9.5,ng/µl,50,0.19,0.132,0.086,1.43,18/03/2020 10:42,01/01/2010 00:00,,0x00000000
14,18/03/2020 10:46,dsDNA,8.9,ng/µl,50,0.177,0.104,0.011,1.71,18/03/2020 10:42,01/01/2010 00:00,,0x00000000
15,18/03/2020 10:46,dsDNA,8.1,ng/µl,50,0.162,0.081,-0.031,2.01,18/03/2020 10:42,01/01/2010 00:00,,0x00000000
16,18/03/2020 10:46,dsDNA,10.2,ng/µl,50,0.204,0.128,0.016,1.6,18/03/2020 10:42,01/01/2010 00:00,,0x00000000
17,18/03/2020 10:46,dsDNA,10.4,ng/µl,50,0.207,0.136,0.048,1.53,18/03/2020 10:42,01/01/2010 00:00,,0x00000000
18,18/03/2020 10:46,dsDNA,4.7,ng/µl,50,0.093,0.09,-0.432,1.03,18/03/2020 10:42,01/01/2010 00:00,,0x00000000
19,18/03/2020 10:47,dsDNA,12,ng/µl,50,0.24,0.131,0.012,1.83,18/03/2020 10:42,01/01/2010 00:00,,0x00000000
20,18/03/2020 10:47,dsDNA,15.3,ng/µl,50,0.305,0.168,0.031,1.82,18/03/2020 10:42,01/01/2010 00:00,,0x00000000
,18/03/2020 10:47,Blank,,,,,,,,,01/01/2010 00:00,,0x00000000
21,18/03/2020 10:48,dsDNA,775,ng/µl,50,15.499,8.283,0.031,1.87,18/03/2020 10:47,01/01/2010 00:00,,0x00000000
22,18/03/2020 10:48,dsDNA,777.4,ng/µl,50,15.548,8.308,0.034,1.87,18/03/2020 10:47,01/01/2010 00:00,,0x00000000
23,18/03/2020 10:48,dsDNA,784.8,ng/µl,50,15.696,8.386,0.041,1.87,18/03/2020 10:47,01/01/2010 00:00,,0x00000000
24,18/03/2020 10:48,dsDNA,1925.6,ng/µl,50,38.512,22.107,0.024,1.74,18/03/2020 10:47,01/01/2010 00:00,,0x00000000
25,18/03/2020 10:48,dsDNA,1916.3,ng/µl,50,38.327,21.934,0.022,1.75,18/03/2020 10:47,01/01/2010 00:00,,0x00000000
26,18/03/2020 10:48,dsDNA,1925.8,ng/µl,50,38.516,22.093,0.023,1.74,18/03/2020 10:47,01/01/2010 00:00,,0x00000000
